Estado,Abreviatura,Regiones,Mujeres,Hombres,No_esp,Total
 Aguascalientes,AG,Noreste,9,73,0,82
 Baja California,BC,Noroeste,272,2603,37,2912
 Baja California Sur,BS,Noroeste,31,169,0,200
 Campeche,CM,Sureste,14,65,0,79
 Coahuila de Zaragoza,CO,Noreste,30,214,0,244
 Colima,CL,Occidente,85,660,2,747
 Chiapas,CS,Sureste,52,610,0,662
 Chihuahua,CH,Noroeste,279,2695,4,2978
 CDMX,CX,Centro-Sur,138,1331,0,1469
 Durango,DG,Noroeste,21,157,0,178
 Guanajuato,GT,Noreste,362,3152,3,3517
 Guerrero,GR,Centro-Sur,238,2121,8,2367
 Hidalgo,HG,Occidente,54,285,1,340
 Jalisco,JC,Noroeste,284,2617,27,2928
 Mexico,EM,Occidente,458,2707,5,3170
 Michoacan,MI,Occidente,184,1887,5,2076
 Morelos,MO,Centro-Sur,84,735,4,823
 Nayarit,NA,Noroeste,39,354,4,397
 Nuevo Leon,NL,Noreste,92,758,0,850
 Oaxaca,OA,Sureste,132,996,0,1128
 Puebla,PU,Centro-Sur,137,1109,3,1249
 Queretaro,QT,Noreste,29,200,0,229
 Quintana Roo,QR,Sureste,92,748,1,841
 San Luis Potosi,SL,Noreste,60,502,1,563
 Sinaloa,SI,Noroeste,52,1159,3,1214
 Sonora,SO,Noroeste,63,869,4,936
 Tabasco,TB,Sureste,48,519,2,569
 Tamaulipas,TM,Noreste,132,1270,35,1437
 Tlaxcala,TL,Centro-Sur,22,130,0,152
 Veracruz,VE,Sureste,145,1365,6,1516
 Yucatan,YU,Sureste,10,49,0,59
 Zacatecas,ZA,Noreste,104,656,13,773
