Estado,Abreviatura,Regiones,Mujeres,Hombres,No_esp,Total
 Aguascalientes,AG,Noreste,7,86,0,93
 Baja California,BC,Noroeste,298,2563,106,2967
 Baja California Sur,BS,Noroeste,7,71,0,78
 Campeche,CM,Sureste,7,69,0,76
 Coahuila de Zaragoza,CO,Noreste,33,209,0,242
 Colima,CL,Occidente,105,588,1,694
 Chiapas,CS,Sureste,74,461,1,536
 Chihuahua,CH,Noroeste,357,3107,4,3468
 CDMX,CX,Centro-Sur,144,1196,0,1340
 Durango,DG,Noroeste,20,147,1,168
 Guanajuato,GT,Noreste,640,4524,206,5370
 Guerrero,GR,Centro-Sur,154,1349,4,1507
 Hidalgo,HG,Occidente,42,324,0,366
 Jalisco,JC,Noroeste,245,1989,7,2241
 Mexico,EM,Occidente,432,2648,9,3089
 Michoacan,MI,Occidente,248,2149,3,2400
 Morelos,MO,Centro-Sur,81,905,2,988
 Nayarit,NA,Noroeste,22,162,1,185
 Nuevo Leon,NL,Noreste,93,822,4,919
 Oaxaca,OA,Sureste,110,765,0,875
 Puebla,PU,Centro-Sur,128,902,1,1031
 Queretaro,QT,Noreste,25,202,0,227
 Quintana Roo,QR,Sureste,68,560,0,628
 San Luis Potosi,SL,Noreste,62,729,12,803
 Sinaloa,SI,Noroeste,40,814,12,866
 Sonora,SO,Noroeste,93,1449,40,1582
 Tabasco,TB,Sureste,55,530,0,585
 Tamaulipas,TM,Noreste,75,705,20,800
 Tlaxcala,TL,Centro-Sur,27,125,2,154
 Veracruz,VE,Sureste,139,1038,2,1179
 Yucatan,YU,Sureste,12,60,0,72
 Zacatecas,ZA,Noreste,114,1088,42,1244
