Estado,Abreviatura,Regiones,Mujeres,Hombres,No_esp,Total
 Aguascalientes,AG,Noreste,8,76,0,84
 Baja California,BC,Noroeste,205,1955,9,2169
 Baja California Sur,BS,Noroeste,77,673,1,751
 Campeche,CM,Sureste,6,72,0,78
 Coahuila de Zaragoza,CO,Noreste,41,234,0,275
 Colima,CL,Occidente,77,786,4,867
 Chiapas,CS,Sureste,66,525,0,591
 Chihuahua,CH,Noroeste,258,1990,0,2248
 CDMX,CX,Centro-Sur,143,1177,0,1320
 Durango,DG,Noroeste,28,172,0,200
 Guanajuato,GT,Noreste,216,2067,2,2285
 Guerrero,GR,Centro-Sur,215,2388,34,2637
 Hidalgo,HG,Occidente,53,258,3,314
 Jalisco,JC,Noroeste,142,1428,16,1586
 Mexico,EM,Occidente,470,2595,11,3076
 Michoacan,MI,Occidente,145,1585,2,1732
 Morelos,MO,Centro-Sur,79,571,4,654
 Nayarit,NA,Noroeste,59,415,0,474
 Nuevo Leon,NL,Noreste,61,603,0,664
 Oaxaca,OA,Sureste,131,886,1,1018
 Puebla,PU,Centro-Sur,143,933,7,1083
 Queretaro,QT,Noreste,35,183,0,218
 Quintana Roo,QR,Sureste,48,406,1,455
 San Luis Potosi,SL,Noreste,49,457,1,507
 Sinaloa,SI,Noroeste,85,1553,2,1640
 Sonora,SO,Noroeste,65,691,5,761
 Tabasco,TB,Sureste,47,403,0,450
 Tamaulipas,TM,Noreste,141,1048,15,1204
 Tlaxcala,TL,Centro-Sur,18,108,0,126
 Veracruz,VE,Sureste,213,1631,7,1851
 Yucatan,YU,Sureste,13,39,0,52
 Zacatecas,ZA,Noreste,93,614,2,709
