Estado,Abreviatura,Regiones,Mujeres,Hombres,No_esp,Total
 Aguascalientes,AG,Noreste,9966,10404,0,20370
 Baja California,BC,Noroeste,23539,24406,0,47945
 Baja California Sur,BS,Noroeste,4982,5099,0,10081
 Campeche,CM,Sureste,5275,5454,0,10729
 Coahuila de Zaragoza,CO,Noreste,22594,23221,0,45815
 Colima,CL,Occidente,4325,4623,0,8948
 Chiapas,CS,Sureste,47962,50136,0,98098
 Chihuahua,CH,Noroeste,23436,24659,0,48095
 CDMX,CX,Centro-Sur,32218,33485,0,65703
 Durango,DG,Noroeste,13713,14275,0,27988
 Guanajuato,GT,Noreste,41979,43278,2,85259
 Guerrero,GR,Centro-Sur,29174,29976,0,59150
 Hidalgo,HG,Occidente,18487,19011,0,37498
 Jalisco,JC,Noroeste,58439,61165,0,119604
 Mexico,EM,Occidente,90657,93790,0,184447
 Michoacan,MI,Occidente,36028,37086,1,73115
 Morelos,MO,Centro-Sur,12137,12525,0,24662
 Nayarit,NA,Noroeste,8153,8371,0,16524
 Nuevo Leon,NL,Noreste,36678,37793,0,74471
 Oaxaca,OA,Sureste,25497,26534,0,52031
 Puebla,PU,Centro-Sur,51363,52865,0,104228
 Queretaro,QT,Noreste,16318,16893,0,33211
 Quintana Roo,QR,Sureste,11864,12199,0,24063
 San Luis Potosi,SL,Noreste,20432,21380,0,41812
 Sinaloa,SI,Noroeste,19080,19891,0,38971
 Sonora,SO,Noroeste,15005,15899,0,30904
 Tabasco,TB,Sureste,14289,14654,0,28943
 Tamaulipas,TM,Noreste,21876,22421,0,44297
 Tlaxcala,TL,Centro-Sur,10139,10471,0,20610
 Veracruz,VE,Sureste,45582,46743,0,92325
 Yucatan,YU,Sureste,14375,14946,0,29321
 Zacatecas,ZA,Noreste,12890,13419,0,26309
