anio_hecho,mes_hecho,fecha_hecho,hora_hecho,delito,categoria,sexo,edad,tipo_persona,calidad_juridica,competencia,anio_inicio,mes_inicio,fecha_inicio,hora_inicio,colonia_catalogo,colonia_hecho,alcaldia_hecho,municipio_hecho,latitud,longitud
2022,Enero,01/01/22,2:00:00,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A VIAS DE COMUNICACION,DELITO DE BAJO IMPACTO,NA,NA,MORAL,OFENDIDO,FUERO COMUN,2023,Enero,01/01/23,3:42:00,ARENAL PUERTA TEPEPAN,ARENAL TEPEPAN,TLALPAN,CDMX,19.28362206,-99.14571974
2022,Enero,01/01/22,2:00:00,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A VIAS DE COMUNICACION,DELITO DE BAJO IMPACTO,Masculino,16,FISICA,LESIONADO,FUERO COMUN,2023,Enero,01/01/23,3:42:00,ARENAL PUERTA TEPEPAN,ARENAL TEPEPAN,TLALPAN,CDMX,19.28362206,-99.14571974
2023,Enero,01/01/23,3:17:00,VIOLACION EQUIPARADA,VIOLACIÓN,Femenino,10,FISICA,VICTIMA,FUERO COMUN,2023,Enero,01/01/23,4:14:00,LEYES DE REFORMA 1A SECCION,LEYES DE REFORMA 1A SECCIÓN,IZTAPALAPA,CDMX,19.35823313,-99.07211225
2022,Diciembre,31/12/22,22:20:00,HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION),DELITO DE BAJO IMPACTO,Masculino,33,FISICA,CADAVER,FUERO COMUN,2023,Enero,01/01/23,4:14:00,AMERICAS UNIDAS-DEL LAGO,AMÉRICAS UNIDAS,BENITO JUAREZ,CDMX,19.38266489,-99.13995935
2023,Enero,01/01/23,4:25:00,VIOLENCIA FAMILIAR,DELITO DE BAJO IMPACTO,Femenino,20,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,5:00:00,STA MARTHA ACATITLA NTE (AMPL) II,SANTA MARTHA ACATITLA NORTE,IZTAPALAPA,CDMX,19.3748892,-99.01619421
2023,Enero,01/01/23,3:15:00,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION,DELITO DE BAJO IMPACTO,Masculino,37,FISICA,LESIONADO,FUERO COMUN,2023,Enero,01/01/23,5:00:00,CTM VII CULHUACAN (U HAB),CULHUACÁN CTM SECCIÓN VI,COYOACAN,CDMX,19.3262243,-99.11140724
2023,Enero,01/01/23,1:30:00,AMENAZAS,DELITO DE BAJO IMPACTO,Femenino,37,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,5:07:00,SAN MATEO TLALTENANGO (PBLO),SAN MATEO TLALTENANGO,CUAJIMALPA DE MORELOS,CDMX,19.34543641,-99.27573703
2023,Enero,01/01/23,1:30:00,AMENAZAS,DELITO DE BAJO IMPACTO,Femenino,14,FISICA,VICTIMA,FUERO COMUN,2023,Enero,01/01/23,5:07:00,SAN MATEO TLALTENANGO (PBLO),SAN MATEO TLALTENANGO,CUAJIMALPA DE MORELOS,CDMX,19.34543641,-99.27573703
2023,Enero,01/01/23,1:30:00,AMENAZAS,DELITO DE BAJO IMPACTO,Femenino,7,FISICA,VICTIMA,FUERO COMUN,2023,Enero,01/01/23,5:07:00,SAN MATEO TLALTENANGO (PBLO),SAN MATEO TLALTENANGO,CUAJIMALPA DE MORELOS,CDMX,19.34543641,-99.27573703
2023,Enero,01/01/23,1:30:00,AMENAZAS,DELITO DE BAJO IMPACTO,Masculino,NA,FISICA,VICTIMA,FUERO COMUN,2023,Enero,01/01/23,5:07:00,SAN MATEO TLALTENANGO (PBLO),SAN MATEO TLALTENANGO,CUAJIMALPA DE MORELOS,CDMX,19.34543641,-99.27573703
2023,Enero,01/01/23,2:20:00,ROBO A CASA HABITACION SIN VIOLENCIA,DELITO DE BAJO IMPACTO,Masculino,61,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,5:32:00,ROMERO RUBIO,ROMERO RUBIO,VENUSTIANO CARRANZA,CDMX,19.44365119,-99.09360162
2023,Enero,01/01/23,2:00:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,NA,FISICA,VICTIMA,FUERO COMUN,2023,Enero,01/01/23,5:37:00,SAN SIMON TOLNAHUAC,SAN SIMÓN TOLNAHUAC,CUAUHTEMOC,CDMX,19.46110986,-99.14231658
2022,Diciembre,14/12/22,12:00:00,USO DE DOCUMENTO FALSO,DELITO DE BAJO IMPACTO,Masculino,NA,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,5:49:00,ACACIAS,ACACIAS,BENITO JUAREZ,CDMX,19.36800685,-99.17575076
2022,Enero,01/01/22,3:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,26,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,6:00:00,JUAREZ,JUÁREZ,CUAUHTEMOC,CDMX,19.42756755,-99.16127801
2023,Enero,01/01/23,3:16:00,LESIONES INTENCIONALES POR ARMA DE FUEGO,LESIONES DOLOSAS POR DISPARO DE ARMA DE FUEGO,Masculino,20,FISICA,LESIONADO,FUERO COMUN,2023,Enero,01/01/23,6:08:00,NA,NA,TLALPAN,CDMX,NA,NA
2022,Diciembre,31/12/22,20:15:00,VIOLENCIA FAMILIAR,DELITO DE BAJO IMPACTO,Femenino,38,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,6:20:00,SAN FELIPE DE JESUS I,SAN FELIPE DE JESÚS,GUSTAVO A. MADERO,CDMX,19.49890648,-99.07002249
2023,Enero,01/01/23,5:40:00,VIOLENCIA FAMILIAR,DELITO DE BAJO IMPACTO,Femenino,39,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,6:20:00,SAN PEDRO DE LOS  PINOS,SAN PEDRO DE LOS PINOS,BENITO JUAREZ,CDMX,19.39111817,-99.18361629
2023,Enero,01/01/23,5:20:00,VIOLENCIA FAMILIAR,DELITO DE BAJO IMPACTO,Femenino,24,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,6:30:00,JALALPA EL GRANDE,JALALPA EL GRANDE 1ER. REACOMODO,ALVARO OBREGON,CDMX,19.36901332,-99.24161668
2023,Enero,01/01/23,6:00:00,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,Masculino,NA,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,6:55:00,SANTA ANA TLACOTENCO (PBLO),La Guadalupita,MILPA ALTA,CDMX,19.17803951,-98.99473337
2023,Enero,01/01/23,4:00:00,AMENAZAS,DELITO DE BAJO IMPACTO,Femenino,29,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,7:08:00,EMILIO CARRANZA,EMILIO CARRANZA,VENUSTIANO CARRANZA,CDMX,19.44848829,-99.12041701
2023,Enero,01/01/23,6:45:00,VIOLENCIA FAMILIAR,DELITO DE BAJO IMPACTO,Femenino,23,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,7:09:00,SAN LORENZO XICOTENCATL (PBLO),SAN LORENZO XICOTENCATL,IZTAPALAPA,CDMX,19.38490078,-99.0281914
2023,Enero,01/01/23,6:48:00,ROBO DE ACCESORIOS DE AUTO,DELITO DE BAJO IMPACTO,Masculino,NA,MORAL,VICTIMA,FUERO COMUN,2023,Enero,01/01/23,8:33:00,DE LA CANDELARIA (PBLO),PUEBLO LA CANDELARIA,COYOACAN,CDMX,19.33188113,-99.14777531
2022,Diciembre,09/12/22,3:00:00,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,Masculino,NA,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,8:51:00,ROMA NORTE II,ROMA NORTE,CUAUHTEMOC,CDMX,19.42381575,-99.15561809
2023,Enero,01/01/23,6:40:00,LESIONES CULPOSAS POR TRANSITO VEHICULAR,DELITO DE BAJO IMPACTO,Masculino,NA,FISICA,LESIONADO,FUERO COMUN,2023,Enero,01/01/23,9:08:00,STA MARTHA ACATITLA NTE (AMPL) I,SANTA MARTHA ACATITLA NORTE,IZTAPALAPA,CDMX,19.37793336,-99.02213527
2023,Enero,01/01/23,9:00:00,VIOLENCIA FAMILIAR,DELITO DE BAJO IMPACTO,Femenino,67,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,9:19:00,ISIDRO FABELA II (ORIENTE),ISIDRO FABELA,TLALPAN,CDMX,19.29998311,-99.17114534
2022,Diciembre,31/12/22,23:30:00,ABUSO DE AUTORIDAD Y USO ILEGAL DE LA FUERZA PUBLICA,DELITO DE BAJO IMPACTO,Masculino,55,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,9:23:00,TACUBAYA,TACUBAYA,MIGUEL HIDALGO,CDMX,19.40267949,-99.18560032
2023,Enero,01/01/23,7:00:00,COHECHO,DELITO DE BAJO IMPACTO,Masculino,20,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,9:36:00,CHAPULTEPEC POLANCO (POLANCO),POLANCO,MIGUEL HIDALGO,CDMX,19.43164705,-99.19830008
2023,Enero,01/01/23,6:10:00,DAÑO EN PROPIEDAD AJENA INTENCIONAL A AUTOMOVIL,DELITO DE BAJO IMPACTO,Masculino,48,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,9:59:00,7 DE JULIO,PENITENCIARIA,VENUSTIANO CARRANZA,CDMX,19.43472272,-99.11250851
2022,Enero,01/01/22,9:26:00,VIOLENCIA FAMILIAR,DELITO DE BAJO IMPACTO,Masculino,61,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,10:04:00,LAS AGUILAS,LAS AGUILAS,ALVARO OBREGON,CDMX,19.36023939,-99.20456358
2023,Enero,01/01/23,3:50:00,VIOLENCIA FAMILIAR,DELITO DE BAJO IMPACTO,Femenino,53,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,10:10:00,NAVIDAD (GRANJAS DE NAVIDAD),LA NAVIDAD,CUAJIMALPA DE MORELOS,CDMX,19.37211814,-99.28748282
2022,Diciembre,26/12/22,NA,TRATA DE PERSONAS,DELITO DE BAJO IMPACTO,Femenino,56,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,10:19:00,ROMA NORTE III,ROMA NORTE,CUAUHTEMOC,CDMX,19.41857726,-99.15803297
2023,Enero,01/01/23,9:40:00,DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,DELITO DE BAJO IMPACTO,NA,NA,MORAL,OFENDIDO,FUERO COMUN,2023,Enero,01/01/23,10:22:00,ISIDRO FABELA II (ORIENTE),ISIDRO FABELA,TLALPAN,CDMX,19.30235967,-99.17278423
2022,Diciembre,30/12/22,18:45:00,VIOLENCIA FAMILIAR,DELITO DE BAJO IMPACTO,Femenino,38,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,10:29:00,ROMA SUR II,ROMA SUR,CUAUHTEMOC,CDMX,19.40320349,-99.15967719
2022,Diciembre,16/12/22,17:00:00,"PRODUCCIÓN, IMPRESIÓN, ENAJENACIÓN, DISTRIBUCIÓN, ALTERACIÓN O FALSIFICACIÓN DE TÍTULOS AL PORTADOR, DOCUMENTOS DE CRÉDITO PÚBLICOS O VALES DE CANJE",DELITO DE BAJO IMPACTO,Femenino,40,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,10:31:00,VILLA LAZARO CARDENAS,EQUIPAMIENTO FABRICA FISISA I,TLALPAN,CDMX,19.29730701,-99.13654712
2023,Enero,01/01/23,5:40:00,ROBO A CASA HABITACION SIN VIOLENCIA,DELITO DE BAJO IMPACTO,Femenino,47,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,10:31:00,PEDREGAL DE SANTA URSULA III,PEDREGAL DE SANTA URSULA,COYOACAN,CDMX,19.30822355,-99.16143201
2023,Enero,01/01/23,9:40:00,PERDIDA DE LA VIDA POR OTRAS CAUSAS,HECHO NO DELICTIVO,Masculino,45,FISICA,CADAVER,HECHOS NO DELICTIVOS,2023,Enero,01/01/23,10:34:00,PASEOS DE CHURUBUSCO,CENTRAL DE ABASTO,IZTAPALAPA,CDMX,19.37637835,-99.08480991
2023,Enero,01/01/23,2:00:00,TENTATIVA DE FEMINICIDIO,DELITO DE BAJO IMPACTO,Femenino,28,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,10:48:00,NA,MAZA,CUAUHTEMOC,CDMX,19.45597325,-99.12627847
2022,Diciembre,31/12/22,3:00:00,VIOLENCIA FAMILIAR,DELITO DE BAJO IMPACTO,Femenino,25,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,10:56:00,VALLE DE MADERO,CUAUTEPEC DE MADERO,GUSTAVO A. MADERO,CDMX,19.55016895,-99.13816567
2022,Diciembre,02/12/22,10:00:00,ABUSO DE CONFIANZA,DELITO DE BAJO IMPACTO,Masculino,NA,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2023,Enero,01/01/23,11:00:00,SAN JUAN DE ARAGON 6A SECCION (U HAB) II,SAN JUAN DE ARAGÓN VI SECCIÓN,GUSTAVO A. MADERO,CDMX,19.46540903,-99.06567243
2023,Enero,01/01/23,7:00:00,LESIONES INTENCIONALES POR ARMA DE FUEGO,LESIONES DOLOSAS POR DISPARO DE ARMA DE FUEGO,Masculino,22,FISICA,LESIONADO,FUERO COMUN,2023,Enero,01/01/23,11:04:00,NA,NA,IZTAPALAPA,CDMX,NA,NA
2023,Enero,01/01/23,7:00:00,LESIONES INTENCIONALES POR ARMA DE FUEGO,LESIONES DOLOSAS POR DISPARO DE ARMA DE FUEGO,Masculino,22,FISICA,LESIONADO,FUERO COMUN,2023,Enero,01/01/23,11:04:00,NA,NA,IZTAPALAPA,CDMX,NA,NA
